station_id,exponential,gaussian,idw,spherical,lon,lat
AL_Fairhope_3_NE,7.649522313743953,50.91217781672504,6.140358038504419,7.7762878074063515,-87.88,30.55
AL_Gadsden_19_N,1.2170936236029948,5.903855015348718,1.4780863667404958,1.23447070552214,-85.96,34.29
AL_Selma_13_WNW,3.1599466110063164,10.441115782568142,4.232431681533266,3.1876474026857573,-87.24,32.46
AR_Batesville_8_WNW,2.622412688380908,14.100898676043727,2.760285672603227,2.627138748201219,-91.78,35.82
AZ_Elgin_5_S,6.079157773697616,9.212869393200549,4.39400785043012,5.916417265514939,-110.51,31.59
AZ_Tucson_11_W,6.6912161976049065,11.510327763623826,8.740057384888335,6.614457523529226,-111.17,32.24
AZ_Williams_35_NNW,4.823356473943218,4.760554424416633,1.9176886493573426,4.751133750841994,-112.34,35.76
AZ_Yuma_27_ENE,5.765401248291566,24.490598592605803,9.70761148269718,6.04040256013675,-114.19,32.84
CA_Bodega_6_WSW,6.648273600011324,63.72972720271536,6.400588740743029,6.2273851856617375,-123.07,38.32
CA_Fallbrook_5_NE,4.313354313726586,4.077891430033538,7.037943954785261,4.225203947918991,-117.19,33.44
CA_Merced_23_WSW,4.861143221863536,2.765356295469584,4.742973367852543,4.5125337463843564,-120.88,37.24
CA_Redding_12_WNW,9.904757765893816,9.248385802533026,8.598267718473268,9.511770505391974,-122.61,40.65
CA_Santa_Barbara_11_W,5.676812450379461,9.644887963583846,5.822306988294538,6.096490348459429,-119.88,34.41
CA_Stovepipe_Wells_1_SW,11.202753274377832,12.10974477464729,11.722469368159532,11.561088178053225,-117.14,36.6
CA_Yosemite_Village_12_W,9.48488915403681,10.915332951685398,8.061052206155049,9.372289623481603,-119.82,37.76
CO_Boulder_14_W,8.352139400473973,8.325185531872728,9.51318558586095,8.258514374789529,-105.54,40.04
CO_Cortez_8_SE,3.027659556814477,4.5631087904200935,2.332114073402321,3.288800871601333,-108.5,37.26
CO_Dinosaur_2_E,4.353466323669051,16.127028667361465,4.061471042509012,4.282351489503531,-108.97,40.24
CO_La_Junta_17_WSW,5.161822517327994,4.30029253958362,3.952022793563575,4.858859899332409,-103.82,37.86
CO_Montrose_11_ENE,3.0813489705262205,4.338383333430692,5.29455225555001,3.3533524492979665,-107.69,38.54
CO_Nunn_7_NNE,5.217631427312575,4.100424764636978,4.003462990170732,4.928463611395439,-104.76,40.81
FL_Everglades_City_5_NE,3.933506475667756,498.35761412142375,6.2478435591754184,3.9146102235184084,-81.32,25.9
FL_Sebring_23_SSE,2.972031639912894,9.023599856197867,4.675879885890082,3.0130147909318072,-81.37,27.15
FL_Titusville_7_E,2.242387915189298,72.19918524839208,4.342785073037692,2.2295857912536996,-80.69,28.62
GA_Brunswick_23_S,2.0896534410925067,24.822145294456273,4.518187000861358,2.035333782636076,-81.46,30.81
GA_Newton_11_SW,2.201646288900125,2.9185137375256884,2.9799452314582524,2.490383224569467,-84.45,31.19
GA_Newton_8_W,3.4506593873620055,4.215789492080598,3.8613450812774066,3.4258296613980237,-84.47,31.31
GA_Watkinsville_5_SSE,1.6581708609365169,1.9951033939541383,2.2505711308931056,1.6153462364635907,-83.39,33.78
IA_Des_Moines_17_E,1.903585985362797,22.017252814887417,3.1196713326552654,1.8577132954116857,-93.29,41.56
ID_Arco_17_SW,3.4188506073609957,43.536981284362994,5.05916378708477,3.502528326421996,-113.56,43.46
ID_Murphy_10_W,3.1511402622972926,14.945310161824548,3.081095604913613,3.269149780434653,-116.75,43.2
IL_Champaign_9_SW,1.4501253205339535,2.0807016251761565,2.3004061473386908,1.5111985778978785,-88.37,40.05
IL_Shabbona_5_NNE,1.4567098991005234,29.57954707263906,3.246313723147787,1.3262915746800374,-88.85,41.84
IN_Bedford_5_WNW,1.4345594909910184,2.0148613407728626,1.6779604865278699,1.5605487529224276,-86.57,38.89
KS_Manhattan_6_SSW,1.9398072860758617,7.92142377549567,2.0915612462686943,1.853681407316075,-96.61,39.1
KS_Oakley_19_SSW,2.13857623337306,2.541563053602156,2.4118828698001757,2.1868227634246504,-100.96,38.87
KY_Bowling_Green_21_NNE,1.6455528822956438,6.74137639157127,1.8130761852275386,1.6385259160924666,-86.23,37.25
KY_Versailles_3_NNW,1.6312706120237863,3.272906010659638,1.7484088454087656,1.6435321663481302,-84.75,38.09
LA_Lafayette_13_SE,2.706622461775828,2.6668374857346637,6.041044373676589,2.548368270391672,-91.87,30.09
LA_Monroe_26_N,1.7491167052683805,5.173983697184052,2.990251527240818,1.8380282360749363,-92.12,32.88
ME_Limestone_4_NNW,6.0427413704700115,585.1851210327417,7.085649715744017,6.0644535113085345,-67.88,46.96
ME_Old_Town_2_W,3.108368440748938,2.99198881569158,3.6044048229516505,3.2203956389322443,-68.7,44.93
MI_Chatham_1_SE,4.205322480844012,324.33336922492305,7.100485632301344,4.220912557466394,-86.92,46.33
MI_Gaylord_9_SSW,2.657808041938856,165.3055436574287,4.8435901868417846,2.7307442316636963,-84.72,44.91
MN_Goodridge_12_NNW,3.7860481784728215,301.2118260600388,7.283613078857428,4.004687241887603,-95.87,48.31
MN_Sandstone_6_W,1.9577960226180087,16.394239233001716,5.283694695752376,1.990275630010641,-92.99,46.11
MO_Chillicothe_22_ENE,2.0252262675893293,4.539593969344057,2.166396931028664,1.9405443903846007,-93.15,39.87
MO_Joplin_24_N,11.22403032642191,17.896102751938006,10.986212827300923,11.263543454097602,-94.58,37.43
MO_Salem_10_W,3.211265308264969,14.398155436376593,3.185947374477701,3.2181998962004843,-91.72,37.63
MS_Holly_Springs_4_N,1.852491991055848,1.9361611586607979,2.3991912966045406,1.950636178014541,-89.43,34.82
MS_Newton_5_ENE,2.177622848328923,3.67576713367245,2.9598517567596097,2.2559769191461565,-89.07,32.34
MT_Dillon_18_WSW,3.4790789677266005,79.90175303287893,5.3878348794533135,3.5140830174122946,-113.01,45.16
MT_Lewistown_42_WSW,4.239478804930857,35.06280260343851,4.051014511272997,4.362507346684571,-110.29,46.88
MT_St._Mary_1_SSW,4.690351287957081,230.50873888935675,7.092089959072792,4.535623026154232,-113.43,48.74
MT_Wolf_Point_29_ENE,1.847958285095487,2.5053672605865493,2.3541659214308033,1.7072148620786938,-105.1,48.31
MT_Wolf_Point_34_NE,1.909858037891232,8.526138508169808,2.467429939244653,1.9496810254296004,-105.21,48.49
NC_Asheville_13_S,1.7807059172671187,2.9427558577445883,1.837176427946438,2.095881060125747,-82.56,35.42
NC_Asheville_8_SSW,2.33461270434762,3.4078698838182326,2.1997701140592327,2.648236040222986,-82.61,35.49
NC_Durham_11_W,1.5436768227355053,10.948856806657622,2.2531225937235884,1.551529622088893,-79.09,35.97
ND_Jamestown_38_WSW,1.888696827824773,18.91173138333893,3.2949025562281093,1.8657660092438657,-99.48,46.77
ND_Medora_7_E,1.9713339705180875,15.245348274829716,2.0882503028282744,2.0465201828254056,-103.38,46.89
ND_Northgate_5_ESE,2.442474424712546,66.98556026297831,4.493294987466805,2.6301942256952655,-102.17,48.97
NE_Harrison_20_SSE,2.7087471093009636,5.061668062386152,2.8624649200014325,2.8499302228568064,-103.74,42.42
NE_Lincoln_11_SW,1.1069478434935291,2.164302185349345,1.4785153558042388,1.2430632768383325,-96.85,40.7
NE_Lincoln_8_ENE,1.379765659983326,2.9127741095960964,1.6010535457285675,1.383636227213249,-96.57,40.85
NE_Whitman_5_ENE,1.903882579881982,2.4419859868222136,2.048647455441436,1.988423770914405,-101.44,42.07
NH_Durham_2_N,1.477931530661099,4.524441597826888,1.7250149987768741,1.415122333659421,-70.93,43.17
NH_Durham_2_SSW,1.3887062774665364,4.446552283846763,1.8404284816250434,1.468143848224452,-70.95,43.11
NM_Las_Cruces_20_N,2.4940047288564675,12.721864497494211,3.6692786111024045,2.4768613179812293,-106.74,32.61
NM_Los_Alamos_13_W,10.048846990458125,11.21199258979192,10.176479667310163,10.211832009593728,-106.52,35.86
NM_Socorro_20_N,5.999727599919947,5.384518821268984,5.759116437354372,5.4071655028718135,-106.89,34.36
NV_Baker_5_W,3.354882635752604,14.00025364593309,2.818818619076752,3.367907120650444,-114.21,39.01
NV_Denio_52_WSW,5.816312991671857,19.992885523614454,5.849458345945441,5.705337996467344,-119.64,41.85
NV_Mercury_3_SSW,4.253620548114857,4.377538129765811,3.3561779426724536,4.227934148951042,-116.02,36.62
NY_Ithaca_13_E,2.3743371263574766,57.21011585176073,3.9261939464728486,2.2416053121796233,-76.25,42.44
NY_Millbrook_3_W,2.0651018170130735,20.138241967367776,2.1975750706612915,2.116251416298611,-73.74,41.79
OH_Wooster_3_SSE,2.236960058498042,38.15249436861839,2.7984124449368775,2.2836373718529948,-81.91,40.76
OK_Goodwell_2_E,2.673916555579717,3.1541472488755593,2.7983918138247765,2.810728754641024,-101.59,36.6
OK_Goodwell_2_SE,1.4178962390253962,6.602479382040141,2.205096467505378,1.4611505277665013,-101.61,36.57
OK_Stillwater_2_W,2.061830302504673,14.776107146917468,2.314229485986181,2.0324967184910196,-97.09,36.12
OK_Stillwater_5_WNW,2.1527634462821097,15.045024936206774,2.020113777145423,2.2206901802376096,-97.11,36.13
ON_Egbert_1_W,2.37825733523167,3.5790365846777714,5.090554899634803,2.3491593614949884,-79.78,44.23
OR_Coos_Bay_8_SW,5.802798949392792,5.624456161540067,5.964800135358905,5.518676157835914,-124.32,43.27
OR_Corvallis_10_SSW,2.2968819465463364,208.78856584835611,2.5937442909504966,2.1522835139493846,-123.33,44.42
OR_John_Day_35_WNW,5.87947244951038,9.421883963905803,5.046379519955363,6.074603580553391,-119.65,44.56
OR_Riley_10_WSW,2.894411411955343,3.270637317476653,3.4002058165465825,2.796229984493354,-119.69,43.47
PA_Avondale_2_N,1.8816908500553442,3.2976039822771206,1.921597672362754,1.8341402138131726,-75.79,39.86
RI_Kingston_1_NW,1.535815140494858,1.5505884700171222,1.5793959336966705,1.4141237868715961,-71.54,41.49
RI_Kingston_1_W,1.578253148242807,1.6510943024014761,1.5748594854842688,1.5221054355794836,-71.54,41.48
SC_Blackville_3_W,1.549822982364108,1.6547145016376603,2.921782177217861,1.5351598371577686,-81.33,33.36
SC_McClellanville_7_NE,1.8872944828324272,105.56003846950081,4.183899635994902,1.7372669209553404,-79.36,33.15
SD_Aberdeen_35_WNW,1.401432235645773,1.8321684063226942,2.9633449288297324,1.3939013426055038,-99.13,45.71
SD_Buffalo_13_ESE,2.2784717614944943,2.0621806199932236,1.8664632297078356,2.2122165179425264,-103.3,45.52
SD_Pierre_24_S,1.9332679698188002,16.501745169905394,2.1966754667010484,2.0840642060075316,-100.35,44.02
SD_Sioux_Falls_14_NNE,1.8878196372454126,34.400145439616665,4.1267616056891345,1.9021668266749276,-96.62,43.73
TN_Crossville_7_NW,2.0700177919188243,2.47190081600785,2.5027894636022636,2.147125698525981,-85.13,36.01
TX_Austin_33_NW,2.0993221051767423,3.7237959586776217,5.183669359353435,2.159658138054018,-98.08,30.62
TX_Bronte_11_NNE,2.5285789489273838,2.8332919037886133,3.468346183071811,2.563246132191231,-100.25,32.04
TX_Edinburg_17_NNE,4.064448554575381,15.895623647050295,8.475159348778815,4.028089809874271,-98.06,26.53
TX_Monahans_6_ENE,2.0148004147907512,37.80906419666539,4.974981286494797,2.1031368346955515,-102.81,31.62
TX_Muleshoe_19_S,1.8724322080195341,4.14323633692223,3.320205575492074,2.006201287080219,-102.77,33.96
TX_Palestine_6_WNW,3.3302506222224597,64.72126898735624,6.33126381296911,3.268184583846279,-95.72,31.78
TX_Panther_Junction_2_N,4.50922574414582,137.51277892975102,8.366240956426429,4.510773326816293,-103.21,29.35
TX_Port_Aransas_32_NNE,2.345617167921625,11.913441580461358,5.180460712382686,2.3402912467190986,-96.82,28.3
UT_Brigham_City_28_WNW,2.780683939444223,3.052827755446646,2.477412853310989,2.8669608088674328,-112.54,41.62
UT_Torrey_7_E,2.46694721762883,21.372462846743954,2.760529118916457,2.498626851248405,-111.29,38.3
VA_Cape_Charles_5_ENE,2.713816864951184,6.910510432941884,3.8013158283912873,2.613891444535513,-75.93,37.29
VA_Charlottesville_2_SSE,2.9836733871056826,11.714521304321586,2.750430568883344,2.8409600959988524,-78.47,38.0
WA_Darrington_21_NNE,3.4634567276599535,16.576012921199116,4.128209724878444,3.4299213350491313,-121.45,48.54
WA_Quinault_4_NE,1.9544793956313535,102.57176092706827,2.6571359784345883,2.017985131638034,-123.81,47.51
WA_Spokane_17_SSW,2.7285185546899386,2.8696994350982052,3.808457238650086,2.644279648847652,-117.53,47.42
WI_Necedah_5_WNW,1.91476712609843,40.31831459536893,3.6393382611873126,1.9939756321954438,-90.17,44.06
WV_Elkins_21_ENE,4.8879274819718015,17.607230843177213,5.978625588230679,4.906837795812099,-79.47,39.01
WY_Lander_11_SSE,3.9107171508804255,63.267304831996434,3.5815990912954305,3.8477401736898678,-108.67,42.68
WY_Moose_1_NNE,5.255988674726247,52.497401209107124,7.518459183682114,5.223527718449204,-110.71,43.66
WY_Sundance_8_NNW,5.197003917196911,14.99508444452155,5.926412386937838,4.933589258415756,-104.44,44.52
