station_id,exponential,gaussian,idw,spherical,lon,lat
AL_Brewton_3_NNE,7.815237927467107,117.01175204849234,7.227135283227454,8.197012115470676,-87.05,31.14
AL_Clanton_2_NE,11.015965596272716,12.599937371870869,9.830067071327527,11.532834365222177,-86.61,32.85
AL_Courtland_2_WSW,8.33305666391576,34.67873306284346,5.01829605126454,8.023823450004677,-87.35,34.66
AL_Cullman_3_ENE,9.080252956171986,34.844976260644984,5.267822423101705,9.229549339662452,-86.8,34.2
AL_Fairhope_3_NE,6.097353673715257,286.193782988363,6.973671231455847,6.0850061028404925,-87.88,30.55
AL_Gadsden_19_N,6.178829011237812,18.919397169123155,4.719474080056594,5.809869941232345,-85.96,34.29
AL_Gainesville_2_NE,12.831285576428163,20.871396074053944,7.28334230537139,12.333734377835944,-88.14,32.84
AL_Greensboro_2_WNW,6.4037084640413635,6.997501700931389,5.599320437697877,6.084783473915492,-87.62,32.72
AL_Highland_Home_2_S,19.240302861111456,21.43766638320288,15.965171499923448,19.97829232422891,-86.31,31.92
AL_Muscle_Shoals_2_N,8.786137261684523,15.86853801790701,7.246801438996436,8.461711491854444,-87.64,34.77
AL_Northport_2_S,6.493478272891223,13.933698867095305,7.174213909419334,7.027437792452669,-87.59,33.21
AL_Russellville_4_SSE,10.535526335413978,11.171570269164144,8.241473598168705,8.612752408464408,-87.71,34.45
AL_Scottsboro_2_NE,9.53486400286229,23.16278871822453,8.294731464247837,9.29676965919899,-86.0,34.69
AL_Selma_13_WNW,5.663435374764418,5.061649575533172,5.586097537014952,4.833235289214178,-87.24,32.46
AL_Selma_6_SSE,10.23205385300244,9.995959818272592,7.638436539832859,10.159138826675594,-86.98,32.33
AL_Talladega_10_NNE,10.291855258334085,28.49924541387257,7.095977262316716,10.440493946178215,-86.06,33.57
AL_Thomasville_2_S,8.767666164691171,32.98563341373159,7.622948837056191,8.916724112931103,-87.74,31.88
AL_Troy_2_W,14.96380568036074,16.290145288635017,10.548443384144768,15.112797071336088,-86.0,31.79
AL_Valley_Head_1_SSW,16.689703298143716,28.45915069343302,7.86732418640687,15.280148617260908,-85.62,34.57
AR_Batesville_8_WNW,14.0534682557794,193.0257623261745,14.068589982888058,15.334566086786467,-91.78,35.82
AZ_Elgin_5_S,2.4276329242736128,10.289159325234401,1.0722041943829923,2.360172257715996,-110.51,31.59
AZ_Tucson_11_W,2.042397175560593,4.252368437641494,2.55146166409628,2.633342525751112,-111.17,32.24
AZ_Williams_35_NNW,2.474278189807931,5.162733829470638,1.45803891714789,2.6454474050801107,-112.34,35.76
AZ_Yuma_27_ENE,4.039097250558885,18.179992747146102,2.5745094746622885,3.4390912967555853,-114.19,32.84
CA_Bodega_6_WSW,3.7097790171100207,4.089255918489079,2.782543453927815,3.73034061981439,-123.07,38.32
CA_Fallbrook_5_NE,2.815625106789622,14.28783488636518,3.323717275916702,3.1084840862368632,-117.19,33.44
CA_Merced_23_WSW,2.9081794986749925,6.071939263117016,1.4719030421445392,2.3800584940710676,-120.88,37.24
CA_Redding_12_WNW,9.484546554269956,10.084169216348503,9.422449214594947,9.426077242504553,-122.61,40.65
CA_Santa_Barbara_11_W,4.247904914591535,11.165452366004553,3.242312191712693,3.9820697183520544,-119.88,34.41
CA_Stovepipe_Wells_1_SW,2.081952660573637,2.536625042529871,1.1125004809491021,2.2456143323019004,-117.14,36.6
CA_Yosemite_Village_12_W,4.420535543676498,4.908992479150443,4.055263325826812,4.582270532246421,-119.82,37.76
CO_Boulder_14_W,3.8849010987206674,5.878960580360183,3.3760564829820203,3.9136886523855816,-105.54,40.04
CO_Cortez_8_SE,1.9206790001705454,4.158818031905408,1.4037753602837513,2.060893881167119,-108.5,37.26
CO_Dinosaur_2_E,1.7833916581717513,2.0823455571342073,1.0263522555107143,1.7981153637516254,-108.97,40.24
CO_La_Junta_17_WSW,3.625823741264547,46.94348252170537,2.4871371788973553,3.789587559597015,-103.82,37.86
CO_Montrose_11_ENE,3.093117636906507,3.890315173583975,2.633976382347637,2.8839649772869222,-107.69,38.54
CO_Nunn_7_NNE,2.7349299073493234,3.5362387189221622,2.0506811643792395,2.580085213745672,-104.76,40.81
FL_Everglades_City_5_NE,10.864961599303768,32.68777518200279,10.773763025127474,9.790437849917875,-81.32,25.9
FL_Sebring_23_SSE,8.42705946656147,19.91978078618761,6.99641255663826,8.398738788148885,-81.37,27.15
FL_Titusville_7_E,8.128895037814813,24.037825860041202,7.593239118673061,8.225233746237656,-80.69,28.62
GA_Brunswick_23_S,8.234691486433732,1102.039535217673,7.777546344028973,8.368080926641438,-81.46,30.81
GA_Newton_11_SW,6.697323001403908,11.126819371142146,7.235274874016439,7.562497554783388,-84.45,31.19
GA_Newton_8_W,6.0566029405247495,7.095532944395651,9.542767316315208,6.512127950905057,-84.47,31.31
GA_Watkinsville_5_SSE,3.0626916079288367,4.396497156588091,2.8491757878070048,2.889154528805085,-83.39,33.78
IA_Des_Moines_17_E,5.560761773178836,68.21281662477307,5.569046198085969,5.369341849906463,-93.29,41.56
ID_Arco_17_SW,2.7261365697281477,3.2144706433365497,2.2055334750027993,2.5677639427297985,-113.56,43.46
ID_Murphy_10_W,3.1652892991545323,13.0520114270895,1.8525838208031664,2.781535461355439,-116.75,43.2
IL_Champaign_9_SW,4.576125509878957,14.386718048695512,4.822576753216537,4.2291582318003655,-88.37,40.05
IL_Shabbona_5_NNE,5.056777663637601,428.97403996387567,5.364842864168054,5.7274489530277375,-88.85,41.84
IN_Bedford_5_WNW,9.450486693880201,71.32808753368539,9.690851737218722,9.752051436605212,-86.57,38.89
KS_Manhattan_6_SSW,4.479887545203113,6.0264654241624775,5.041501696012756,4.750208018848695,-96.61,39.1
KS_Oakley_19_SSW,2.9810147477229942,5.066287337842525,2.7535235202202437,3.630400754588505,-100.96,38.87
KY_Bowling_Green_21_NNE,9.729613036049752,32.15858124299477,9.308046760452234,10.332860956640324,-86.23,37.25
KY_Versailles_3_NNW,5.770564412953403,78.05388226046254,6.165762185101309,5.737669775728694,-84.75,38.09
LA_Lafayette_13_SE,9.086735435237035,86.06889691047263,8.4592843536201,9.103230226681665,-91.87,30.09
LA_Monroe_26_N,13.12641986898899,269.08736866633467,10.48505265938987,13.084487795454544,-92.12,32.88
ME_Limestone_4_NNW,5.663455370448387,7.789495257875317,5.2237793170582485,6.000026903786365,-67.88,46.96
ME_Old_Town_2_W,4.696066701670329,6.249249519227941,4.964206450650964,4.788170090629106,-68.7,44.93
MI_Chatham_1_SE,5.642055172466658,10.866596313185553,5.564890870192853,5.631610010413194,-86.92,46.33
MI_Gaylord_9_SSW,5.279602933333331,247.78722961807208,5.547570592954682,5.465888493906091,-84.72,44.91
MN_Goodridge_12_NNW,6.582964857029156,34.96871934688925,6.367517732853047,6.879617974468269,-95.87,48.31
MN_Sandstone_6_W,4.01651488145127,13.18117385858674,4.107833009188716,4.1025876144267635,-92.99,46.11
MO_Chillicothe_22_ENE,8.324841112860465,126.81001617601012,8.346575399140182,8.14461080664766,-93.15,39.87
MO_Joplin_24_N,6.774365857179758,43.94227067084363,6.852383926814483,6.8082475430723095,-94.58,37.43
MO_Salem_10_W,8.004901565673743,1001.7048782112223,8.028789779662963,8.35852285694558,-91.72,37.63
MS_Holly_Springs_4_N,4.386770772842218,53.193060317677585,3.885200050729549,4.437879639609359,-89.43,34.82
MS_Newton_5_ENE,10.262938572856523,69.83189850489208,7.98625173865105,7.393961672319807,-89.07,32.34
MT_Dillon_18_WSW,3.532090557258252,5.293788754235254,1.7158705859773236,2.8673783723275106,-113.01,45.16
MT_Lewistown_42_WSW,2.7783021253941835,3.4967238772037605,2.2748546716458886,2.9821326058412967,-110.29,46.88
MT_St._Mary_1_SSW,4.980715495356172,5.611955005962277,5.12800605581901,5.089444963959604,-113.43,48.74
MT_Wolf_Point_29_ENE,2.806612792135199,10.924960301472703,1.3758825663820917,2.7839187731312367,-105.1,48.31
MT_Wolf_Point_34_NE,3.1810573806605564,12.544874591425058,3.1142767936027402,3.3114709428331124,-105.21,48.49
NC_Asheville_13_S,6.29723663811524,6.591803920218438,5.857479859216526,6.251143894209644,-82.56,35.42
NC_Asheville_8_SSW,8.136881302241909,43.87933681962465,8.009444957074468,10.16409931593416,-82.61,35.49
NC_Durham_11_W,7.009222809223419,23.2646638905964,8.345264429785537,7.471034266590601,-79.09,35.97
ND_Jamestown_38_WSW,2.7416857498105167,61.93945246697902,2.5973451629768274,2.7558117728243423,-99.48,46.77
ND_Medora_7_E,2.5967423721839924,7.328994904789509,2.0442484969950008,2.8048319939939557,-103.38,46.89
ND_Northgate_5_ESE,4.105464754527673,34.004541301985086,3.3844900167017506,4.280308865797735,-102.17,48.97
NE_Harrison_20_SSE,1.896545335543479,5.337741016789557,1.4128944655759827,1.8086757073515087,-103.74,42.42
